function_addr,subsystem,role,state_root,outputs,calibration_refs,evidence_grade
0x68c0c,dormant crypto-test bank scheduler,"dispatches three CAN-controlled crypto-test banks; the 0x68BC2 branch is the recovered bank-1 command-5 state step",0xFEBE508D (GP-0x6773); 0xFEBE508F (GP-0x6771),"RAM flags 0xFEBE5085..0xFEBE508F; calls 0x67FCE/0x680D4/0x68198/0x682F8/0x686EA/0x68BC2",none,recovered
0x791c4,communication manager,"main TX/RX processing path; dispatches ~20 communication functions including application_com_tx_main when enabled",0xFEBE3DF2 (GP-0x7A0E),"CAN TX via application_com_tx_main; COM packers; calls FUN_00069380/FUN_00081d46/FUN_0007adac/0x7ab32/0x7b3ac/0x78e4e/0x7aed0/0x7bf8a/0x7c5d6/0x7c5b2/0x7adc2/0x7c440/0x7da46/0x7dd96/0x78e86/0x78ea6",none,bounded
0x96bac,safety diagnostics,"safety/diagnostics cyclic; dispatches diagnostic handlers when enabled",0xFEBE5E28 (GP-0x59D8),"calls FUN_000902a8/FUN_00096dce/FUN_00096c30",none,bounded
0x68de6,dormant crypto-test bank continuation,"runs bank result/finalization handlers; the 0x68D0E branch is the recovered bank-1 command-5 finalizer",0xFEBE5085 (GP-0x677B); 0xFEBE508A; 0xFEBE508F,"calls 0x68C86/0x68CD2/0x68D0E/0x68D3C",none,recovered
0x57ac2,foreground system-mode and control dispatcher,"E2E-validates version state then dispatches full/reduced system-mode pipelines; 0xFDD40 -> 0xBEC4C reaches the steering-command conditioning chain",0xFEBE8BBA (GP-0x2C46); 0xFEBEACEE/0xFEBEACF1,"calls 0xFDD40/0xFDD54; full path reaches 0xBA43A -> 0xCBA72 -> 0xCB86E","E2E helpers 0x6F71C/0x6F6A6/0x6F97A; marker 0xA55A",recovered
0x6547c,timer and peripheral reload,"writes three timer/peripheral MMIO blocks from calibration tables with interrupts disabled; exact PWM/motor ownership is not established",none,"MMIO 0xFFE20000..0xFFE2005C; 0xFFE21000..0xFFE2105C; 0xFFE50000..0xFFE5005C","0x30F9C; 0x30FA0/0x30FA4/0x30FA8/0x30FAC; 0x30F7C/0x30F84/0x30F8C/0x30F94",recovered
0x7ff86,application can special rx demux,"separate receive callback for acceptance rule 50 / CAN ID 0x7F7; dispatches via pointer table at 0x21A2C",none,"dispatches to callback via piVar3[1]; index table at 0x21A2C",none,bounded
0x4a244,protected CAN 0x2E4 unpacker,"unpacks PDU 6 signal 61 as signed big-endian B1..B2 into COM signal state",0xFEBE5332 update counter,"0xFEBE7F94 signed 16-bit command field",SecOC record 0 / PDU 6,recovered
0x56fc2,RTE-like receive staging copy,"first non-unpacker consumer copies the protected 0x2E4 signed command field",0xFEBE7F94,"0xFEBEF184",none,recovered
0xba43a,system-mode input snapshot,"scales FEBEF184 by 0x100/100 and commits the per-tick control input before invoking 0xCBA72",0xFEBEF184,"0xFEBEAE20; calls 0xCBA72","scale 0x100/100 via 0xCBB74",recovered
0xc853a,steering-command clamp and gain stage,"clamps the signed command to calibration +/-0x1BD80 then applies mode-indexed gain",0xFEBEAE20; 0xFEBEB98E,"0xFEBEBF94 bounded input; 0xFEBEBF96 gain; 0xFEBEBF98 scaled value; 0xFEBEBF80 gain-adjusted command","0x1BD80; lookup tables 0xD603C/0xD607C",recovered
0xc85b6,steering-command saturation and rate-limit stage,"scales FEBEBF80 to signed 16-bit range and rate-limits against prior state",0xFEBEBF80; 0xFEBEBF9A,"0xFEBEBF90 raw saturated; 0xFEBEBF9A rate-limited; 0xFEBEBF84 conditioned; 0xFEBEBFA0/0xFEBEBFA8 direction-change state","0x1BD8E rate step; 0x1BD8C threshold",recovered
