table_index,record_addr,sid,sid_name,session_allow_ptr,session_allow_list,session_allow_count,security_allow_count,has_subfunction_table,subfunction_table_ptr,subfunction_count,subfunctions,service_callback,service_callback_role,async_worker,security_policy,nrcs,side_effects,config_tables,security_allow_ptr,evidence_status,notes,did_table_addr,did_table_count,routine_control_table_addr,routine_control_table_count,wdbi_callback_table_addr,wdbi_callback_table_count
0,0x25E28,0x10,DiagnosticSessionControl,0x25BAE,"1,2,3",3,0,1,0x25BC0,3,"01@0x93FF6[sessions 1,2,3]; 02@0x94006[sessions 2,3]; 03@0x94016[sessions 1,3]",,subfunction_table_only,0x8A244 application_session_transition_async_worker (programming),none at service or subfunction level,0x13 length; 0x7E via session allow-list; 0x88 speed; 0x22 handoff; 0x78 pending,session transition; programming queues event 9 / mode 0x900 reset,subfn 0x25BC0; runtime 0x262F6; speed/supply 0x181DC/0x181DE,,recovered,See existing session/handoff analysis in docs/diagnostics/application.md,,,,,,
1,0x25E40,0x11,ECUReset,0x25B90,2,1,0,0,,0,,,null direct callback; generic positive-response path,,none at service level; programming session only,generic session rejection outside programming,no service-specific callback recovered from runtime object,session allow [2] only,,verified null-direct service,The prior 0x8B1F0 ECUReset attribution was an 8-byte service-object parsing error; 0x8B1F0 belongs to SID 0x14.,,,,,,
2,0x25E58,0x14,ClearDiagnosticInformation,0x25B68,"1,3",2,0,0,,0,,0x8B1F0,direct callback 0x8B1F0; phase 0 starts 0x8B144,0x8AF28/0x8B014 lower clear stages; nonzero callback phase finalizes via 0x8B1D4,"none at service level; sessions [1,3]",0x13 wrong length; 0x22/0x31/0x72 from lower-stage mapper,"requires and packs the three-byte groupOfDTC, then executes the configured clear operation",runtime service object 0x25E58,,recovered,"Request shape is ClearDiagnosticInformation, not ECUReset.",,,,,,
3,0x25E70,0x19,ReadDTCInformation,0x25B72,"1,3",2,0,1,0x25BF0,4,"01@0x8B5AA[sessions 1,3]; 02@0x8BA2A[sessions 1,3]; 03@0x8BD94[sessions 1,3]; 04@0x8C326[sessions 1,3]",,subfunction_table_only,subfn workers 0x8B532/0x8B99A/0x8BD30/0x8C276; pending returns 10,"none at service level; subfn sessions [1,3]",0x13 length; report-specific worker failures,read/report operations only in recovered subfunction graph,subfn table 0x25BF0 (01..04),,recovered,The prior 0x945DC service-level attribution was shifted; 0x945DC is SID 0x22 RDBI.,,,,,,
4,0x25E88,0x22,ReadDataByIdentifier,0x25BB1,"1,2,3",3,0,0,,0,,0x945DC,"direct callback 0x945DC; phase 0=0x944C6, phase 2=0x9452E",0x94426/0x9429E drive generic configured DID-record reads through 0x92810/0x929B0,per-DID/session/security through generic DID capability and record policy,0x13 request shape; 0x31 DID/policy; 0x14 responseTooLong; pending supported,reads through the 242-row DID table; disclosure and side-effect boundaries verified separately,DID table 0x2941C count 242 (getter 0x4F928),,recovered,Runtime object 0x25E88 and secondary object 0x26008 both bind SID 0x22 to 0x945DC.,0x2941C,242,,,,
5,0x25EA0,0x23,ReadMemoryByAddress,0x25B91,3,1,0,0,,0,,0x948AA,direct callback 0x948AA; phases 0/2/3 start/cancel/poll through 0x9479A/0x9486C/0x946FA,0x9479A parses addressAndLengthFormatIdentifier; 0x8C456/0x4EB1C execute configured memory reads,extended-session outer gate plus configured memory-range/session/security checks via 0x92ECC/0x92FAE/0x92FEE,0x13 malformed length; 0x31 unsupported range/format; 0x33 security,bounded configured memory read,generic memory-range policy rooted through PTR_PTR_00026208,,recovered,The prior simple-response/RDBI attribution was caused by the 8-byte-shifted service parser.,,,,,,
6,0x25EB8,0x27,SecurityAccess,0x25B74,"2,3",2,0,1,0x25C30,4,01@0x94E32[sessions 2]; 02@0x94E46[sessions 2]; 03@0x94E5A[sessions 3]; 04@0x94E6E[sessions 3],,subfunction_table_only,"0x9497C request-seed / 0x94A72 send-key; pending 10 supported. Level 1 (01/02, programming) uses stubs at 0x94E0E/0x94E22 that always return 1 (non-functional). Level 2 (03/04, extended) uses actual implementations: seed via 0x94E12->0x8C734, key via 0x94E26->0x8C82A.","levels 1 and 2; subfn sessions 1/2 require programming, 3/4 extended. Level 1 is a compiled-out stub; only level 2 is functional.",0x13 length; 0x24 sequence; 0x35 invalidKey; 0x36 attempts; 0x37 delay,"successful send-key calls unlock helper 0x900FC->0x9075A which sets bit (level-1) in 2-dword bitmask. Seed stored at FEBF495A (16 bytes), provisioned flag FEBF4958 (0x5A). Key derived via AES/CMAC using CodeFlash secret at 0x20840.","subfn 0x25C30; slots @0x26338/0x26350 seed/key len 0x10, levels 1/2; key material @0x20840",,recovered,Application SA algorithm: level 2 seed generated via crypto hardware (0x8C65A) and stored at FEBF495A; expected key = AES/CMAC transform of stored seed under 16-byte secret at 0x20840. Attempt counter is per-level RAM-only (not NvM-persisted). Independent of bootloader SEED_KEY_SECRET.,,,,,,
7,0x25ED0,0x28,CommunicationControl,0x25B99,3,1,0,1,0x25C70,3,00@0x9542C[sessions 3]; 01@0x9543C[sessions 3]; 03@0x9544C[sessions 3],,subfunction_table_only; wrappers 0x9542C/0x9543C/0x9544C,0x95306 -> 0x95154 shared CommunicationControl request worker,none at service level; subfunctions allowed in extended session,0x13 length; 0x31 unsupported control,configured communication-mode updates through 0x94F8E/0x9505C,subfn 0x25C70 (00/01/03); mode bytes at tp+0x249B,,recovered,0x93C62 is not CommunicationControl; it is the direct SID 0x2E WDBI callback.,,,,,,
8,0x25EE8,0x2E,WriteDataByIdentifier,0x25B76,"2,3",2,0,0,,0,,0x93C62,"direct callback 0x93C62; phase 0=0x93B56, phase 2=0x93BDE",generic write-record operations via 0x93AF2/0x93A1E/0x9395E -> 0x92A70,"outer sessions [2,3], no SecurityAccess; generic DID write capability plus callback-local runtime gates",0x13 length; 0x31 DID/write capability; 0x33 security; configured worker NRC,"13 implemented DIDs; eight arm NvM object 0x101/0x102/0x103 updates, while 2012/2013/2014 expose live state/control parameters",generic DID table 0x2941C; WDBI callback table 0x25768 count 13; class write wrappers 0x936AA/0x936D6,,verified surface,The prior 19-entry WDBI surface was actually RoutineControl RID configuration; 0x25768 is the active lower WDBI callback table.,,,,,0x25768,13
9,0x25F00,0x31,RoutineControl,0x25BB4,"1,2,3",3,0,0,,0,,0x95DCE,direct callback 0x95DCE; phases 0/2/3 start/cancel/poll via 0x95C8C/0x95D7E/0x95DB4,0x95B0C configured RoutineControl worker; 19-RID surface at 0x26AEC,19 RID records have their own policy/session configuration; service outer sessions are 1/2/3,0x13 length; 0x12 unsupported controlType; 0x31 RID; 0x33 policy/security,"configured RID actions include crypto-test bank activation, key update, lifecycle reinitialization, and service-mode controls",RoutineControl RID table 0x26AEC count 19; callback table 0x25804,,recovered,"Request shape is controlType + 16-bit RID. The 0x25768 callback table belongs to SID 0x2E WDBI, not RoutineControl.",,,0x26AEC,19,,
